case,family,background,source_id,direction,model_feasible,assay_mean_feasible,assay_strict_feasible,feasible_states,normalizer,minimum_feasible_base_edits,exact_target_base_edits,factorized_invalid_mass,exact_target_assay_mean,exact_target_assay_strict,local_clause_count,blocking_run_clauses,blocking_run_complete,expected_regions_3_independent_draws,regions_3_exact_blocking_rounds
455aba3f5bb00842,"FOXA1,NR2F2,TFAP2C",2,seq_126590,1,False,True,False,,,,,,,,,,,,
458e656afbf22575,"CEBPA,RXRA,SP1",2,seq_157548,1,False,False,False,,,,,,,,,,,,
45be0bf376ef498b,"CTCF,HNF4A,ONECUT1",1,seq_143927,-1,False,False,False,,,,,,,,,,,,
45e4563667cad849,"CEBPA,FOXA1,SP1",2,seq_137378,-1,False,False,False,,,,,,,,,,,,
45f0af7f127bbaed,"CEBPA,CTCF,SP1",1,seq_199197,-1,False,False,False,,,,,,,,,,,,
46295d3de684e894,"GABPA,HNF4A,REST",2,seq_182628,1,False,False,False,,,,,,,,,,,,
4646835b93bd7d8f,"AP1,HNF1A,REST",1,seq_150013,-1,False,False,False,,,,,,,,,,,,
46474043c9053bc5,"AP1,AP1,ONECUT1",2,seq_143472,1,False,False,False,,,,,,,,,,,,
474dd8a2185c5899,"CEBPA,GABPA,ONECUT1",2,seq_128634,-1,False,False,False,,,,,,,,,,,,
478e27342cd0808e,"ONECUT1,YY1,YY1",1,seq_133347,-1,True,True,True,5.0,0.13752879622945702,10.0,12.321241673564574,0.216425214149421,0.09528658630665625,0.09528658630665625,2.0,2.0,True,1.7496762840317228,2.0
47db655adc3d32c4,"HNF4A,SP1,YY1",1,seq_138813,1,False,False,False,,,,,,,,,,,,
47dd02aefc2e917a,"HNF4A,SP1,YY1",1,seq_152665,-1,True,True,True,2.0,0.08581106309457953,8.0,9.899665807298575,0.0,1.0,1.0,1.0,1.0,True,1.0,1.0
480ec00a5dd18859,"CEBPA,HNF1A,XBP1",2,seq_132086,-1,False,True,False,,,,,,,,,,,,
4828da9f21cf839d,"AP1,AP1,YY1",2,seq_148324,-1,False,False,False,,,,,,,,,,,,
48614f386f099977,"FOXA1,ONECUT1,XBP1",1,seq_146609,1,True,False,False,1.0,0.008498299924295908,24.0,24.0,0.0,0.0,0.0,1.0,1.0,True,1.0,1.0
4889698bbadd1313,"CEBPA,FOXA1,XBP1",2,seq_203530,1,False,False,False,,,,,,,,,,,,
49063e431f256d0d,"GABPA,RXRA,YY1",2,seq_189214,-1,False,False,False,,,,,,,,,,,,
492659287f56dece,"CTCF,FOXA1,TFAP2C",2,seq_126704,-1,False,False,False,,,,,,,,,,,,
4931a833597f150b,"FOXA1,ONECUT1,ONECUT1",2,seq_123584,-1,False,True,False,,,,,,,,,,,,
495b332a8ff699bb,"AHR,REST,SP1",2,seq_179742,-1,False,True,False,,,,,,,,,,,,
49756b81f7ad6089,"FOXA1,FOXA1,HNF4A",2,seq_122494,-1,False,True,False,,,,,,,,,,,,
49b48dfa3df9e67e,"AP1,GABPA,XBP1",1,seq_193245,-1,False,False,False,,,,,,,,,,,,
49bf372de3f0c22a,"AHR,GABPA,HNF4A",2,seq_154670,-1,False,False,False,,,,,,,,,,,,
4aa21710f6ba4272,"HNF4A,REST,YY1",1,seq_152537,1,False,False,False,,,,,,,,,,,,
4ab3f45e9313f4e1,"CTCF,HNF4A,ONECUT1",2,seq_153166,1,False,False,False,,,,,,,,,,,,
4b1ef119c32b0ff3,"AHR,REST,SP1",2,seq_172218,1,False,False,False,,,,,,,,,,,,
4b6684e51d0a1f93,"HNF1A,NR2F2,YY1",1,seq_135275,1,False,True,False,,,,,,,,,,,,
4b7407d254669462,"REST,YY1,YY1",2,seq_179336,1,False,False,False,,,,,,,,,,,,
4c2426d8f1f456d1,"ONECUT1,YY1,YY1",2,seq_142590,1,False,False,False,,,,,,,,,,,,
4c7c5eb77b09fd41,"GABPA,GABPA,XBP1",2,seq_207244,1,False,True,False,,,,,,,,,,,,
4cec2d85eb63e2d7,"AHR,REST,SP1",1,seq_172207,1,True,True,False,2.0,0.03609647667865475,15.0,16.916697447005944,0.0,0.9999999999999999,0.0,1.0,1.0,True,1.0,1.0
4d1a3f7b90df5431,"RXRA,SP1,YY1",1,seq_133149,1,True,True,True,5.0,0.11979463513783942,8.0,12.60507602087963,0.10789183013982985,1.0,0.8820228785870632,2.0,2.0,True,1.3121755607081622,2.0
4ed1a62304532ee5,"RXRA,RXRA,SP1",1,seq_157643,1,True,True,True,2.0,0.02208997326861519,17.0,18.73614980008194,0.0,1.0,0.19290553334243796,1.0,1.0,True,1.0,1.0
4ef761f0d2b2af91,"ONECUT1,PPARA,TFAP2C",1,seq_187771,1,False,False,False,,,,,,,,,,,,
4f0fc724a767f8c4,"AHR,FOXA1,RXRA",2,seq_170912,1,False,True,False,,,,,,,,,,,,
4f14f7235237895e,"FOXA1,ONECUT1,XBP1",1,seq_127079,-1,False,False,False,,,,,,,,,,,,
4f18841dad966ede,"AP1,CTCF,TFAP2C",1,seq_151467,-1,False,False,False,,,,,,,,,,,,
4f19be063c7bfa32,"CTCF,HNF4A,ONECUT1",1,seq_146429,1,True,False,False,1.0,0.014364806778973992,19.0,19.0,0.0,0.0,0.0,1.0,1.0,True,1.0,1.0
4fb322d52dec2531,"FOXA1,GABPA,YY1",1,seq_135977,1,False,True,False,,,,,,,,,,,,
501e953bef375f3b,"CTCF,RXRA,YY1",1,seq_134407,-1,False,False,False,,,,,,,,,,,,
5034f70b8aab4ecf,"GABPA,GABPA,TFAP2C",2,seq_192816,-1,False,False,False,,,,,,,,,,,,
504ac32f8041c022,"AP1,RXRA,YY1",2,seq_157334,1,False,False,False,,,,,,,,,,,,
