case,family,background,source_id,direction,method,smc_survived,found_cf,terminal_tv,ess_fraction,normalizer_relative_estimate,unique_cf,seconds,best_base_edit_regret,endpoint_mean_meets_gain,endpoint_all_replicates_positive,endpoint_all_replicates_meet_gain,endpoint_base_edits
04bba97e3eacc771,"CEBPA,REST,RXRA",1,seq_129441,1,rollout,1.0,1.0,0.1737065177969405,0.7378842014028274,0.9233768614126303,3.6875,0.000490188875005515,0.0,1.0,0.2050463891144923,0.14227516801443646,18.9487030805062
04bba97e3eacc771,"CEBPA,REST,RXRA",1,seq_129441,1,learned,1.0,1.0,0.14390587063355204,0.9397864938706116,0.9865131621243687,3.8125,0.0017368306250062915,0.0,1.0,0.19240094359457893,0.15575284033568237,18.305580449434217
04bba97e3eacc771,"CEBPA,REST,RXRA",1,seq_129441,1,exact,1.0,1.0,0.15097405263684585,1.0,1.0000000000000002,3.8125,0.00026537224997014164,0.0,1.0,0.27734375,0.234375,19.5703125
04bba97e3eacc771,"CEBPA,REST,RXRA",1,seq_129441,1,defensive_rollout,1.0,1.0,0.1717706736921374,0.7352038617539456,1.0231170404011176,3.875,0.0006388470624898446,0.0,1.0,0.2577305926704876,0.20309416404295844,19.196975837793417
05493b054772ccd5,"PPARA,RXRA,SP1",2,seq_185650,1,reference,1.0,1.0,7.632783294297951e-17,0.3334402951079965,1.125592125191044,1.0,0.00032290356250541663,0.0,1.0,0.0,0.0,11.0
05493b054772ccd5,"PPARA,RXRA,SP1",2,seq_185650,1,myopic,1.0,1.0,5.898059818321144e-17,0.25954620177422827,0.7932774227599478,1.0,0.00033148812501337943,0.0,1.0,0.0,0.0,11.0
05493b054772ccd5,"PPARA,RXRA,SP1",2,seq_185650,1,rollout,1.0,1.0,2.42861286636753e-17,0.6456839951757534,0.6815137410200096,1.0,0.0006493248749706027,0.0,1.0,0.0,0.0,11.0
05493b054772ccd5,"PPARA,RXRA,SP1",2,seq_185650,1,learned,1.0,1.0,3.8163916471489756e-17,0.9065187467302276,0.937212647898144,1.0,0.002453001187461723,0.0,1.0,0.0,0.0,11.0
05493b054772ccd5,"PPARA,RXRA,SP1",2,seq_185650,1,exact,1.0,1.0,0.0,1.0,0.9999999999999997,1.0,0.00026810831249690636,0.0,1.0,0.0,0.0,11.0
05493b054772ccd5,"PPARA,RXRA,SP1",2,seq_185650,1,defensive_rollout,1.0,1.0,4.85722573273506e-17,0.6371900829130939,0.9996676249635768,1.0,0.0005120723750025036,0.0,1.0,0.0,0.0,11.0
067037ea532fbcdb,"FOXA1,ONECUT1,PPARA",1,seq_183713,-1,reference,1.0,1.0,0.22472926212982602,0.9022320452042767,0.9680594264242584,6.5625,0.00024162531251192831,0.0,0.4648489965846462,0.3395057322217824,0.3395057322217824,13.085640324321227
067037ea532fbcdb,"FOXA1,ONECUT1,PPARA",1,seq_183713,-1,myopic,1.0,1.0,0.302790349254778,0.5312399571626156,1.0238286705399968,4.9375,0.00028330493751127506,0.0,0.5442347228860427,0.35693998555233136,0.35693998555233136,13.498279393272082
067037ea532fbcdb,"FOXA1,ONECUT1,PPARA",1,seq_183713,-1,rollout,1.0,1.0,0.212437227401429,0.9017417657080178,1.0271549808355747,6.125,0.0005554085000198938,0.0,0.4757999452809798,0.3255291209594333,0.3255291209594333,13.079872180646301
067037ea532fbcdb,"FOXA1,ONECUT1,PPARA",1,seq_183713,-1,learned,1.0,1.0,0.19213552538352419,0.9790990598729781,0.9867047704160381,5.875,0.002334730062486301,0.0,0.4655997505757158,0.305463885671337,0.305463885671337,12.734522771154165
067037ea532fbcdb,"FOXA1,ONECUT1,PPARA",1,seq_183713,-1,exact,1.0,1.0,0.23257793581852607,1.0,1.0,6.125,0.0003354959375485578,0.0,0.421875,0.28125,0.28125,12.51953125
067037ea532fbcdb,"FOXA1,ONECUT1,PPARA",1,seq_183713,-1,defensive_rollout,1.0,1.0,0.22850438746329457,0.9456172758414482,0.9940719775396025,6.3125,0.0005898294374588886,0.0,0.4070924752495499,0.3151529157466056,0.3151529157466056,12.128550403956567
